"","DepMap_ID","CCL_name","COSMIC_ID","TCGA_combine","TCGA_manual","primary_DepMap","subtype_DepMap","primary_site_CTRP","primary_hist_CTRP","subtype_CTRP","tissue1_GDSC","tissue2_GDSC","TCGA_CCLE","TCGA_GDSC"
"239","ACH-001415","UMUC7",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"240","ACH-001416","UMUC9",NA,NA,NA,"Bladder Cancer","Transitional Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"334","ACH-002092","CHSA0011",1290767,NA,NA,"Bone Cancer","Chondrosarcoma",NA,NA,NA,"bone","chondrosarcoma",NA,NA
"335","ACH-002093","CHSA0108",1290768,NA,NA,"Bone Cancer","Chondrosarcoma",NA,NA,NA,"bone","chondrosarcoma",NA,NA
"336","ACH-002094","CHSA8926",1303912,NA,NA,"Bone Cancer","Chondrosarcoma",NA,NA,NA,"bone","chondrosarcoma",NA,NA
"337","ACH-002099","CS1",1290795,NA,NA,"Bone Cancer","Chondrosarcoma",NA,NA,NA,"bone","bone_other",NA,NA
"260","ACH-001519","HEMCSS",907290,NA,NA,"Bone Cancer","Chondrosarcoma, myeloid",NA,NA,NA,"bone","chondrosarcoma",NA,NA
"205","ACH-001956","MUGCHOR1",NA,NA,NA,"Bone Cancer","Chordoma",NA,NA,NA,NA,NA,NA,NA
"206","ACH-001957","UMCHOR1",NA,NA,NA,"Bone Cancer","Chordoma",NA,NA,NA,NA,NA,NA,NA
"326","ACH-002335","UCH1",NA,NA,NA,"Bone Cancer","Chordoma",NA,NA,NA,NA,NA,NA,NA
"41","ACH-000229","HS822T",NA,NA,NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,NA,NA,NA,NA
"136","ACH-000499","EW8",NA,NA,NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,NA,NA,NA,NA
"138","ACH-000279","EWS502",NA,NA,NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,NA,NA,NA,NA
"246","ACH-001205","TC32",NA,NA,NA,"Bone Cancer","Ewings Sarcoma","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor",NA,NA,NA,NA,NA
"186","ACH-001193","SKPNDW",909731,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"339","ACH-002103","ES1",949158,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"340","ACH-002104","ES3",684055,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"341","ACH-002105","ES4",949156,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"342","ACH-002106","ES5",684057,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"343","ACH-002107","ES6",949157,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"344","ACH-002108","ES7",684059,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"345","ACH-002109","ES8",949155,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"346","ACH-002110","EW1",949163,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"347","ACH-002111","EW11",684062,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"348","ACH-002112","EW12",949162,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"349","ACH-002113","EW13",949166,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"350","ACH-002114","EW16",949165,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"351","ACH-002115","EW18",949164,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"352","ACH-002116","EW22",949167,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"353","ACH-002117","EW24",949168,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"354","ACH-002118","EW3",949161,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"355","ACH-002119","EW7",949160,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"bone","ewings_sarcoma",NA,NA
"361","ACH-002194","RH1",971773,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,"soft_tissue","rhabdomyosarcoma",NA,NA
"8","ACH-001022","CBAGPN",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"39","ACH-001029","CHLA10",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"49","ACH-001030","CHLA218",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"50","ACH-001282","CHLA258",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"57","ACH-001032","CHLA32",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"60","ACH-001033","CHLA57",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"61","ACH-001034","CHLA9",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"69","ACH-001038","COGE352",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"70","ACH-001035","CHLA99",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"122","ACH-001430","TC138",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"140","ACH-001431","TC205",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"163","ACH-001283","TC106",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"329","ACH-001066","EWS834",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"331","ACH-001206","TCC466",NA,NA,NA,"Bone Cancer","Ewings Sarcoma",NA,NA,NA,NA,NA,NA,NA
"75","ACH-000526","HS821T",NA,NA,NA,"Bone Cancer","Giant Cell Sarcoma","bone","giant_cell_tumor",NA,NA,NA,NA,NA
"32","ACH-000185","HS737T",NA,NA,NA,"Bone Cancer","Giant Cell Tumor","bone",NA,"giant_cell_tumor",NA,NA,NA,NA
"25","ACH-000154","HS888T",NA,NA,NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,NA,NA,NA,NA
"132","ACH-001001","143B",NA,NA,NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,NA,NA,NA,NA
"265","ACH-001526","HUO9",907072,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,"bone","osteosarcoma",NA,NA
"306","ACH-001715","CAL72",906827,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,"bone","osteosarcoma",NA,NA
"356","ACH-002142","HUO3N1",909977,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,"bone","osteosarcoma",NA,NA
"360","ACH-002178","NY",910849,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,"bone","osteosarcoma",NA,NA
"317","ACH-001814","OS252",NA,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,NA,NA,NA,NA
"324","ACH-002067","NOS1",NA,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,NA,NA,NA,NA
"454","ACH-002396","SARC9371",NA,NA,NA,"Bone Cancer","Osteosarcoma",NA,NA,NA,NA,NA,NA,NA
"4","ACH-000027","GOS3",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma",NA,NA,NA,NA
"142","ACH-000128","LN319",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_III",NA,NA,NA,NA
"3","ACH-000036","U343",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"18","ACH-000208","U178",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"19","ACH-000215","LN382",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"37","ACH-000591","LN235",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"40","ACH-000673","LN443",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"53","ACH-000328","LN215",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"66","ACH-000455","LN428",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"91","ACH-000634","LN340",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"149","ACH-000887","SF172",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"51","ACH-000283","A1207",NA,NA,NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma",NA,NA,NA,NA,NA
"210","ACH-001329","ANGMCSS",NA,NA,NA,"Brain Cancer","Glioblastoma",NA,NA,NA,NA,NA,NA,NA
"293","ACH-001611","NP8",NA,NA,NA,"Brain Cancer","Glioblastoma",NA,NA,NA,NA,NA,NA,NA
"84","ACH-000592","TM31",NA,NA,NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma",NA,NA,NA,NA
"131","ACH-001000","1321N1",NA,NA,NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma",NA,NA,NA,NA
"191","ACH-001214","U138MG",NA,NA,NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma",NA,NA,NA,NA
"192","ACH-000676","LN464",NA,NA,NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,NA,NA
"292","ACH-001610","NP5",NA,NA,NA,"Brain Cancer","Glioma",NA,NA,NA,NA,NA,NA,NA
"295","ACH-001624","ONDA9",NA,NA,NA,"Brain Cancer","Glioma",NA,NA,NA,NA,NA,NA,NA
"83","ACH-001053","D425",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"87","ACH-001054","D458",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"108","ACH-001232","UW228",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"141","ACH-001052","D384",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"144","ACH-001055","D556",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"184","ACH-001201","SUMB002",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"245","ACH-001173","R262",NA,NA,NA,"Brain Cancer","Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"54","ACH-001067","F5",NA,NA,NA,"Brain Cancer","Meningioma","central_nervous_system","meningioma",NA,NA,NA,NA,NA
"55","ACH-000025","CH157MN",NA,NA,NA,"Brain Cancer","Meningioma","central_nervous_system","meningioma",NA,NA,NA,NA,NA
"90","ACH-000629","IOMMLEE",NA,NA,NA,"Brain Cancer","Meningioma","central_nervous_system","meningioma",NA,NA,NA,NA,NA
"112","ACH-000807","SNU738",NA,NA,NA,"Brain Cancer","Oligodendroglioma, anaplastic","central_nervous_system","glioma","oligodendroglioma",NA,NA,NA,NA
"300","ACH-001670","TASK1",NA,NA,NA,"Brain Cancer","Primitive Neuroectodermal Tumor (PNET) Medulloblastoma",NA,NA,NA,NA,NA,NA,NA
"243","ACH-001397","SUM225CWN",NA,NA,NA,"Breast Cancer","Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"227","ACH-001390","SUM149PT",NA,NA,NA,"Breast Cancer","Breast Ductal Carcinoma",NA,NA,NA,NA,NA,NA,NA
"299","ACH-001389","SUM1315MO2",NA,NA,NA,"Breast Cancer","Breast Ductal Carcinoma",NA,NA,NA,NA,NA,NA,NA
"303","ACH-001514","HCC1008",NA,NA,NA,"Breast Cancer","Breast Ductal Carcinoma",NA,NA,NA,NA,NA,NA,NA
"20","ACH-000134","HS274T",NA,NA,NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,NA,NA,NA,NA
"31","ACH-000184","HS343T",NA,NA,NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,NA,NA,NA,NA
"42","ACH-000230","HS742T",NA,NA,NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,NA,NA,NA,NA
"59","ACH-000413","HS739T",NA,NA,NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,NA,NA,NA,NA
"80","ACH-000540","HS606T",NA,NA,NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,NA,NA,NA,NA
"7","ACH-001393","SUM190PT",NA,NA,NA,"Breast Cancer","Carcinoma",NA,NA,NA,NA,NA,NA,NA
"16","ACH-001395","SUM44PE",NA,NA,NA,"Breast Cancer","Carcinoma",NA,NA,NA,NA,NA,NA,NA
"99","ACH-001394","SUM229PE",NA,NA,NA,"Breast Cancer","Carcinoma",NA,NA,NA,NA,NA,NA,NA
"105","ACH-001396","SUM52PE",NA,NA,NA,"Breast Cancer","Carcinoma",NA,NA,NA,NA,NA,NA,NA
"259","ACH-001388","SUM102PT",NA,NA,NA,"Breast Cancer","Carcinoma",NA,NA,NA,NA,NA,NA,NA
"228","ACH-001391","SUM159PT",NA,NA,NA,"Breast Cancer","Carcinoma, anaplastic",NA,NA,NA,NA,NA,NA,NA
"242","ACH-001392","SUM185PE",NA,NA,NA,"Breast Cancer","Carcinoma, anaplastic",NA,NA,NA,NA,NA,NA,NA
"387","ACH-002319","184A1",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"388","ACH-002320","600MPE",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"390","ACH-002322","HCC2185",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"391","ACH-002323","HCC2688",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"392","ACH-002324","HCC3153",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"393","ACH-002325","LY2",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"394","ACH-002326","MACLS2",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"395","ACH-002327","MCF12A",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"396","ACH-002328","MX1",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"397","ACH-002329","SKBR5",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"398","ACH-002330","SKBR7",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"399","ACH-002331","ZR75B",NA,NA,NA,"Breast Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"363","ACH-002201","TCYIK",946357,NA,NA,"Cervical Cancer","Small Cell Carcinoma",NA,NA,NA,"urogenital_system","cervix",NA,NA
"249","ACH-001442","A388",910697,NA,NA,"Cervical Cancer","Squmous Cell Carcinoma",NA,NA,NA,"skin","skin_other",NA,NA
"229","ACH-001400","SW954",924247,NA,NA,"Cervical Cancer","Squmous Cell Carcinoma",NA,NA,NA,"urogenital_system","urogenital_system_other",NA,NA
"252","ACH-001454","C10",NA,NA,NA,"Colon/Colorectal Cancer","Colon Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"253","ACH-001456","C125PM",NA,NA,NA,"Colon/Colorectal Cancer","Colon Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"254","ACH-001458","C75",NA,NA,NA,"Colon/Colorectal Cancer","Colon Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"255","ACH-001459","C80",NA,NA,NA,"Colon/Colorectal Cancer","Colon Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"256","ACH-001460","C84",NA,NA,NA,"Colon/Colorectal Cancer","Colon Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"257","ACH-001461","C99",NA,NA,NA,"Colon/Colorectal Cancer","Colon Adenocarcinoma",NA,NA,NA,NA,NA,NA,NA
"79","ACH-000538","HUTU80",907073,NA,NA,"Colon/Colorectal Cancer","Duodenum Adenocarcinoma","small_intestine","carcinoma","adenocarcinoma","digestive_system","digestive_system_other",NA,NA
"35","ACH-000199","HS255T",NA,NA,NA,"Colon/Colorectal Cancer","Unknown","large_intestine","carcinoma","adenocarcinoma",NA,NA,NA,NA
"290","ACH-001578","NCCIT",908441,NA,NA,"Embryonal Cancer","Carcinoma",NA,NA,NA,"urogenital_system","testis",NA,NA
"379","ACH-002291","NTERA2CLD1",908454,NA,NA,"Embryonal Cancer","Carcinoma",NA,NA,NA,"urogenital_system","testis",NA,NA
"377","ACH-002288","NEC8",910942,NA,NA,"Embryonal Cancer","Testicular Carcinoma",NA,NA,NA,"urogenital_system","testis",NA,NA
"266","ACH-001529","JAR",907175,NA,NA,"Endometrial/Uterine Cancer","Choriocarcinoma",NA,NA,NA,"urogenital_system","urogenital_system_other",NA,NA
"267","ACH-001530","JEG3",907176,NA,NA,"Endometrial/Uterine Cancer","Choriocarcinoma",NA,NA,NA,"urogenital_system","urogenital_system_other",NA,NA
"298","ACH-001655","SKN",1240215,NA,NA,"Endometrial/Uterine Cancer","Squamous Cell Carcinoma",NA,NA,NA,"urogenital_system","uterus",NA,NA
"203","ACH-001295","Y79",NA,NA,NA,"Eye Cancer","Retinoblastoma",NA,NA,NA,NA,NA,NA,NA
"248","ACH-001441","921",NA,NA,NA,"Eye Cancer","Uveal Melanoma",NA,NA,NA,NA,NA,NA,NA
"275","ACH-001554","MEL202",NA,NA,NA,"Eye Cancer","Uveal Melanoma",NA,NA,NA,NA,NA,NA,NA
"322","ACH-002015","MEL285",NA,NA,NA,"Eye Cancer","Uveal Melanoma",NA,NA,NA,NA,NA,NA,NA
"323","ACH-002017","OMM1",NA,NA,NA,"Eye Cancer","Uveal Melanoma",NA,NA,NA,NA,NA,NA,NA
"12","ACH-000071","HS706T",NA,NA,NA,"fibroblast","giant_cell_tumor","bone","giant_cell_tumor",NA,NA,NA,NA,NA
"14","ACH-000083","HS281T",NA,NA,NA,"Fibroblast","Unknown","breast","carcinoma",NA,NA,NA,NA,NA
"187","ACH-001207","TIG3TD",NA,NA,NA,"Fibroblast","Unknown","lung",NA,"immortalized_embryonic_fibroblast",NA,NA,NA,NA
"134","ACH-001018","BJHTERT",NA,NA,NA,"Fibroblast","Unknown","skin",NA,"immortalized_fibroblast",NA,NA,NA,NA
"15","ACH-000088","HS172T",NA,NA,NA,"Fibroblast","Unknown","urinary_tract","carcinoma",NA,NA,NA,NA,NA
"315","ACH-001767","CCLFPEDS0018T",NA,NA,NA,"Fibroblast",NA,NA,NA,NA,NA,NA,NA,NA
"21","ACH-000141","SNU308",NA,NA,NA,"Gallbladder Cancer","Adenocarcinoma","biliary_tract","carcinoma",NA,NA,NA,NA,NA
"385","ACH-002312","TGBC24TKB",910695,NA,NA,"Gallbladder Cancer","Carcinoma",NA,NA,NA,"digestive_system","biliary_tract",NA,NA
"291","ACH-001607","NOZ",NA,NA,NA,"Gallbladder Cancer","Carcinoma",NA,NA,NA,NA,NA,NA,NA
"319","ACH-001861","TGBC1TKB",NA,NA,NA,"Gallbladder Cancer","Cholangiocarcinoma",NA,NA,NA,NA,NA,NA,NA
"133","ACH-001015","AZ521",NA,NA,NA,"Gastric Cancer","Duodenal Adenocarcinoma","stomach","carcinoma",NA,NA,NA,NA,NA
"261","ACH-001521","HKA1",NA,NA,NA,"Head and Neck Cancer","Keratoacanthoma",NA,NA,NA,NA,NA,NA,NA
"213","ACH-001346","H103",NA,NA,NA,"Head and Neck Cancer","Squamous Cell Carcinoma",NA,NA,NA,NA,NA,NA,NA
"107","ACH-001228","UPCISCC152",NA,NA,NA,"Head and Neck Cancer","Squamous Cell Carcinoma, oral",NA,NA,NA,NA,NA,NA,NA
"52","ACH-000284","HS840T",NA,NA,NA,"Head and Neck Cancer","Unknown","upper_aerodigestive_tract",NA,"papilloma",NA,NA,NA,NA
"78","ACH-001357","MCF10A",NA,NA,NA,"Immortalized","Fibrocystic Disease",NA,NA,NA,NA,NA,NA,NA
"175","ACH-001163","CCLFPEDS0001T",NA,NA,NA,"Kidney Cancer","Renal Medullary Carcinoma",NA,NA,NA,NA,NA,NA,NA
"207","ACH-001310","HA1E",NA,NA,NA,"Kidney Cancer","Unknown",NA,NA,NA,NA,NA,NA,NA
"364","ACH-002211","BALL1",910705,NA,NA,"Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",NA,NA,NA,"leukemia","B_cell_leukemia",NA,NA
"376","ACH-002275","MN60",908143,NA,NA,"Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",NA,NA,NA,"leukemia","B_cell_leukemia",NA,NA
"382","ACH-002308","SUPB8",910209,NA,NA,"Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",NA,NA,NA,"leukemia","B_cell_leukemia",NA,NA
"127","ACH-000122","SUPT11",NA,NA,NA,"Leukemia","Acute Lymphoblastic Leukemia (ALL), T-cell","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","peripheral_T_cell_lymphoma_unspecified",NA,NA,NA,NA
"198","ACH-001737","HSB2",NA,NA,NA,"Leukemia","Acute Lymphoblastic Leukemia (ALL), T-cell",NA,NA,NA,NA,NA,NA,NA
"34","ACH-000195","SET2",NA,NA,NA,"Leukemia","Acute Myelogenous Leukemia (AML)","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","essential_thrombocythaemia",NA,NA,NA,NA
"307","ACH-001639","ROS50",1331025,NA,NA,"Leukemia","B-cell, unspecified",NA,NA,NA,"leukemia","B_cell_leukemia",NA,NA
"251","ACH-001452","BONNA12",906695,NA,NA,"Leukemia","Hairy Cell",NA,NA,NA,"leukemia","hairy_cell_leukaemia",NA,NA
"369","ACH-002242","HC1",907044,NA,NA,"Leukemia","Hairy Cell",NA,NA,NA,"leukemia","hairy_cell_leukaemia",NA,NA
"375","ACH-002274","MLMA",908142,NA,NA,"Leukemia","Hairy Cell",NA,NA,NA,"leukemia","hairy_cell_leukaemia",NA,NA
"405","ACH-002339","MOT",NA,NA,NA,"Leukemia","Hairy Cell",NA,NA,NA,NA,NA,NA,NA
"378","ACH-002289","NK92MI",1330981,NA,NA,"Leukemia","Natural Killer Cell Lymphoblastic Leukemia/Lymphoma",NA,NA,NA,"lymphoma","lymphoid_neoplasm other",NA,NA
"202","ACH-001735","SEMK2",NA,NA,NA,"Leukemia","Unknown",NA,NA,NA,NA,NA,NA,NA
"204","ACH-001736","HB1119",NA,NA,NA,"Leukemia","Unknown",NA,NA,NA,NA,NA,NA,NA
