"","Cell_line","Histology","TCGA_classification","CCLE_Name","Broad_ID"
"81","GDM1","haematopoietic_and_lymphoid_tissue","LAML","GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000081"
"82","G292CLONEA141B1","bone","SARC","G292CLONEA141B1_BONE","ACH-000082"
"83","HS281T","fibroblast","BRCA","HS281T_FIBROBLAST","ACH-000083"
"84","MUTZ3","haematopoietic_and_lymphoid_tissue","LAML","MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000084"
"85","T3M4","pancreas","PAAD","T3M4_PANCREAS","ACH-000085"
"86","ACCMESO1","pleura","MESO","ACCMESO1_PLEURA","ACH-000086"
"87","SKES1","bone","SARC","SKES1_BONE","ACH-000087"
"88","HS172T","fibroblast","BLCA","HS172T_FIBROBLAST","ACH-000088"
"89","NCIH684","large_intestine","LIHC","NCIH684_LARGE_INTESTINE","ACH-000089"
"90","PC3","prostate","PRAD","PC3_PROSTATE","ACH-000090"
"91","OV56","ovary","OV","OV56_OVARY","ACH-000091"
"92","NCIH2452","pleura","MESO","NCIH2452_PLEURA","ACH-000092"
"93","PANC0504","pancreas","PAAD","PANC0504_PANCREAS","ACH-000093"
"94","HPAFII","pancreas","PAAD","HPAFII_PANCREAS","ACH-000094"
"95","D341MED","central_nervous_system","MB","D341MED_CENTRAL_NERVOUS_SYSTEM","ACH-000095"
"96","G401","soft_tissue","SARC","G401_SOFT_TISSUE","ACH-000096"
"97","ZR751","breast","BRCA","ZR751_BREAST","ACH-000097"
"98","GAMG","central_nervous_system","GBMLGG","GAMG_CENTRAL_NERVOUS_SYSTEM","ACH-000098"
"99","SIMA","autonomic_ganglia","NB","SIMA_AUTONOMIC_GANGLIA","ACH-000099"
"100","RH41","soft_tissue","SARC","RH41_SOFT_TISSUE","ACH-000100"
"101","KE37","haematopoietic_and_lymphoid_tissue","ALL","KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000101"
"102","GMS10","central_nervous_system","GBMLGG","GMS10_CENTRAL_NERVOUS_SYSTEM","ACH-000102"
"103","CAOV4","ovary","OV","CAOV4_OVARY","ACH-000103"
"104","LOUCY","haematopoietic_and_lymphoid_tissue","ALL","LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000104"
"105","ALLSIL","haematopoietic_and_lymphoid_tissue","ALL","ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000105"
"106","JVM2","haematopoietic_and_lymphoid_tissue","CLL","JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000106"
"107","CAPAN2","pancreas","PAAD","CAPAN2_PANCREAS","ACH-000107"
"108","KP3","pancreas","PAAD","KP3_PANCREAS","ACH-000108"
"109","NCIH3255","lung","LUAD","NCIH3255_LUNG","ACH-000109"
"110","NCCSTCK140","stomach","STAD","NCCSTCK140_STOMACH","ACH-000110"
"111","HCC1187","breast","BRCA","HCC1187_BREAST","ACH-000111"
"112","SIGM5","haematopoietic_and_lymphoid_tissue","LAML","SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000112"
"113","OCIAML2","haematopoietic_and_lymphoid_tissue","LAML","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000113"
"114","SU8686","pancreas","PAAD","SU8686_PANCREAS","ACH-000114"
"115","VCAP","prostate","PRAD","VCAP_PROSTATE","ACH-000115"
"116","OAW28","ovary","OV","OAW28_OVARY","ACH-000116"
"117","EFM192A","breast","BRCA","EFM192A_BREAST","ACH-000117"
"118","HUPT3","pancreas","PAAD","HUPT3_PANCREAS","ACH-000118"
"119","HS863T","fibroblast","SARC","HS863T_FIBROBLAST","ACH-000119"
"120","CHP212","autonomic_ganglia","NB","CHP212_AUTONOMIC_GANGLIA","ACH-000120"
"121","NCIH2405","lung","LUAD","NCIH2405_LUNG","ACH-000121"
"122","SUPT11","haematopoietic_and_lymphoid_tissue","ALL","SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000122"
"123","COV434","ovary","OV","COV434_OVARY","ACH-000123"
"124","OCILY19","haematopoietic_and_lymphoid_tissue","DLBC","OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000124"
"125","TO175T","fibroblast",NA,"TO175T_FIBROBLAST","ACH-000125"
"126","KG1C","central_nervous_system","GBMLGG","KG1C_CENTRAL_NERVOUS_SYSTEM","ACH-000126"
"127","SLR20","kidney","KIRC","SLR20_KIDNEY","ACH-000127"
"128","LN319","central_nervous_system","GBMLGG","LN319_CENTRAL_NERVOUS_SYSTEM","ACH-000128"
"129","NCIH1341","lung","SCLC","NCIH1341_LUNG","ACH-000129"
"130","NALM19","haematopoietic_and_lymphoid_tissue","ALL","NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000130"
"131","HS229T","fibroblast","LUAD","HS229T_FIBROBLAST","ACH-000131"
"132","JHOS2","ovary","OV","JHOS2_OVARY","ACH-000132"
"133","HS729","soft_tissue","SARC","HS729_SOFT_TISSUE","ACH-000133"
"134","HS274T","fibroblast","BRCA","HS274T_FIBROBLAST","ACH-000134"
"135","HS940T","fibroblast","SKCM","HS940T_FIBROBLAST","ACH-000135"
"136","CHP126","autonomic_ganglia","NB","CHP126_AUTONOMIC_GANGLIA","ACH-000136"
"137","8MGBA","central_nervous_system","GBMLGG","8MGBA_CENTRAL_NERVOUS_SYSTEM","ACH-000137"
"138","CFPAC1","pancreas","PAAD","CFPAC1_PANCREAS","ACH-000138"
"139","PANC0327","pancreas","PAAD","PANC0327_PANCREAS","ACH-000139"
"140","PFEIFFER","haematopoietic_and_lymphoid_tissue","DLBC","PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000140"
"141","SNU308","biliary_tract",NA,"SNU308_BILIARY_TRACT","ACH-000141"
"142","CAL29","urinary_tract","BLCA","CAL29_URINARY_TRACT","ACH-000142"
"143","HCC2429","lung","LUAD","HCC2429_LUNG","ACH-000143"
"144","RERFGC1B","stomach","STAD","RERFGC1B_STOMACH","ACH-000144"
"145","SKLMS1","soft_tissue","SARC","SKLMS1_SOFT_TISSUE","ACH-000145"
"146","THP1","haematopoietic_and_lymphoid_tissue","LAML","THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000146"
"147","T47D","breast","BRCA","T47D_BREAST","ACH-000147"
"148","HS578T","breast","BRCA","HS578T_BREAST","ACH-000148"
"149","SKNSH","autonomic_ganglia","NB","SKNSH_AUTONOMIC_GANGLIA","ACH-000149"
"150","HCC2935","lung","LUAD","HCC2935_LUNG","ACH-000150"
"151","JM1","haematopoietic_and_lymphoid_tissue","DLBC","JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000151"
"152","M059K","central_nervous_system","GBMLGG","M059K_CENTRAL_NERVOUS_SYSTEM","ACH-000152"
"153","NCIH2052","pleura","MESO","NCIH2052_PLEURA","ACH-000153"
"154","HS888T","fibroblast","SARC","HS888T_FIBROBLAST","ACH-000154"
"155","SW1990","pancreas","PAAD","SW1990_PANCREAS","ACH-000155"
"156","MHHCALL4","haematopoietic_and_lymphoid_tissue","ALL","MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000156"
"157","A4FUK","haematopoietic_and_lymphoid_tissue","DLBC","A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000157"
"158","OCILY3","haematopoietic_and_lymphoid_tissue","DLBC","OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000158"
"159","OSRC2","kidney","KIRC","OSRC2_KIDNEY","ACH-000159"
"160","BT12","soft_tissue","SARC","BT12_SOFT_TISSUE","ACH-000160"
"161","CORL105","lung","LUAD","CORL105_LUNG","ACH-000161"
"162","GA10","haematopoietic_and_lymphoid_tissue","DLBC","GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000162"
"163","SW579","thyroid","THCA","SW579_THYROID","ACH-000163"
"164","PANC1","pancreas","PAAD","PANC1_PANCREAS","ACH-000164"
"165","HS751T","fibroblast",NA,"HS751T_FIBROBLAST","ACH-000165"
"166","KASUMI6","haematopoietic_and_lymphoid_tissue","LAML","KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000166"
"167","KE97","stomach","MM","KE97_STOMACH","ACH-000167"
"168","NOMO1","haematopoietic_and_lymphoid_tissue","LAML","NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000168"
"169","RD","soft_tissue","SARC","RD_SOFT_TISSUE","ACH-000169"
"170","PRECLH","prostate","PRAD","PRECLH_PROSTATE","ACH-000170"
"171","VMRCRCZ","kidney","KIRC","VMRCRCZ_KIDNEY","ACH-000171"
"172","TM87","soft_tissue","SARC","TM87_SOFT_TISSUE","ACH-000172"
"173","JHUEM3","endometrium","UCEC","JHUEM3_ENDOMETRIUM","ACH-000173"
"174","CAL62","thyroid","THCA","CAL62_THYROID","ACH-000174"
"175","TE159T","fibroblast","SARC","TE159T_FIBROBLAST","ACH-000175"
"176","LOUNH91","lung","LUSC","LOUNH91_LUNG","ACH-000176"
"177","NCIH660","prostate","PRAD","NCIH660_PROSTATE","ACH-000177"
"178","HS766T","pancreas","PAAD","HS766T_PANCREAS","ACH-000178"
"179","NCIH1618","lung","SCLC","NCIH1618_LUNG","ACH-000179"
"180","HS839T","fibroblast","SKCM","HS839T_FIBROBLAST","ACH-000180"
"181","SCC9","upper_aerodigestive_tract","HNSC","SCC9_UPPER_AERODIGESTIVE_TRACT","ACH-000181"
"182","SNU869","biliary_tract","CHOL","SNU869_BILIARY_TRACT","ACH-000182"
"183","L363","haematopoietic_and_lymphoid_tissue","MM","L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000183"
"184","HS343T","fibroblast","BRCA","HS343T_FIBROBLAST","ACH-000184"
"185","HS737T","fibroblast",NA,"HS737T_FIBROBLAST","ACH-000185"
"186","NCIH2444","lung",NA,"NCIH2444_LUNG","ACH-000186"
"187","CORL311","lung","SCLC","CORL311_LUNG","ACH-000187"
"188","SCC25","upper_aerodigestive_tract","HNSC","SCC25_UPPER_AERODIGESTIVE_TRACT","ACH-000188"
"189","RCC10RGB","kidney","KIRC","RCC10RGB_KIDNEY","ACH-000189"
"190","HDMYZ","haematopoietic_and_lymphoid_tissue",NA,"HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000190"
"191","BHT101","thyroid","THCA","BHT101_THYROID","ACH-000191"
"192","MFE280","endometrium","UCEC","MFE280_ENDOMETRIUM","ACH-000192"
"193","KARPAS620","haematopoietic_and_lymphoid_tissue","MM","KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000193"
"194","HS934T","fibroblast","SKCM","HS934T_FIBROBLAST","ACH-000194"
"195","SET2","haematopoietic_and_lymphoid_tissue","LAML","SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000195"
"196","HCC1599","breast","BRCA","HCC1599_BREAST","ACH-000196"
"197","TALL1","haematopoietic_and_lymphoid_tissue","ALL","TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000197"
"198","EOL1","haematopoietic_and_lymphoid_tissue","LAML","EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000198"
"199","HS255T","fibroblast","COADREAD","HS255T_FIBROBLAST","ACH-000199"
"200","NMCG1","central_nervous_system","GBMLGG","NMCG1_CENTRAL_NERVOUS_SYSTEM","ACH-000200"
"201","A204","soft_tissue","SARC","A204_SOFT_TISSUE","ACH-000201"
"202","COLO320","large_intestine","COADREAD","COLO320_LARGE_INTESTINE","ACH-000202"
"203","NH6","autonomic_ganglia","NB","NH6_AUTONOMIC_GANGLIA","ACH-000203"
"204","LP1","haematopoietic_and_lymphoid_tissue","MM","LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000204"
"205","PK59","pancreas","PAAD","PK59_PANCREAS","ACH-000205"
"206","C8166","haematopoietic_and_lymphoid_tissue",NA,"C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000206"
"207","DETROIT562","upper_aerodigestive_tract","HNSC","DETROIT562_UPPER_AERODIGESTIVE_TRACT","ACH-000207"
"208","U178","central_nervous_system","GBMLGG","U178_CENTRAL_NERVOUS_SYSTEM","ACH-000208"
"209","SNU1079","biliary_tract","CHOL","SNU1079_BILIARY_TRACT","ACH-000209"
"210","CADOES1","bone","SARC","CADOES1_BONE","ACH-000210"
"211","DAOY","central_nervous_system","MB","DAOY_CENTRAL_NERVOUS_SYSTEM","ACH-000211"
"212","CAL120","breast","BRCA","CAL120_BREAST","ACH-000212"
"213","HUPT4","pancreas","PAAD","HUPT4_PANCREAS","ACH-000213"
"214","HS675T","fibroblast","COADREAD","HS675T_FIBROBLAST","ACH-000214"
"215","LN382","central_nervous_system","GBMLGG","LN382_CENTRAL_NERVOUS_SYSTEM","ACH-000215"
"216","JHESOAD1","oesophagus","ESCA","JHESOAD1_OESOPHAGUS","ACH-000216"
"217","JHH6","liver","LIHC","JHH6_LIVER","ACH-000217"
"218","PL21","haematopoietic_and_lymphoid_tissue","LAML","PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000218"
"219","A375","skin","SKCM","A375_SKIN","ACH-000219"
"220","MINO","haematopoietic_and_lymphoid_tissue","DLBC","MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000220"
"221","SNU398","liver","LIHC","SNU398_LIVER","ACH-000221"
"222","ASPC1","pancreas","PAAD","ASPC1_PANCREAS","ACH-000222"
"223","HCC1937","breast","BRCA","HCC1937_BREAST","ACH-000223"
"224","HS819T","fibroblast","SARC","HS819T_FIBROBLAST","ACH-000224"
"225","ECC12","stomach","STAD","ECC12_STOMACH","ACH-000225"
"226","SUPM2","haematopoietic_and_lymphoid_tissue",NA,"SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000226"
"227","KPNYN","autonomic_ganglia","NB","KPNYN_AUTONOMIC_GANGLIA","ACH-000227"
"228","BICR31","upper_aerodigestive_tract","HNSC","BICR31_UPPER_AERODIGESTIVE_TRACT","ACH-000228"
"229","HS822T","fibroblast","SARC","HS822T_FIBROBLAST","ACH-000229"
"230","HS742T","fibroblast","BRCA","HS742T_FIBROBLAST","ACH-000230"
"231","KALS1","central_nervous_system","GBMLGG","KALS1_CENTRAL_NERVOUS_SYSTEM","ACH-000231"
"232","U251MG","central_nervous_system","GBMLGG","U251MG_CENTRAL_NERVOUS_SYSTEM","ACH-000232"
"233","DEL","haematopoietic_and_lymphoid_tissue",NA,"DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000233"
"234","CAKI2","kidney","KIRC","CAKI2_KIDNEY","ACH-000234"
"235","PANC0403","pancreas","PAAD","PANC0403_PANCREAS","ACH-000235"
"236","SW1417","large_intestine","COADREAD","SW1417_LARGE_INTESTINE","ACH-000236"
"237","JHOM1","ovary","OV","JHOM1_OVARY","ACH-000237"
"238","SCC4","upper_aerodigestive_tract","HNSC","SCC4_UPPER_AERODIGESTIVE_TRACT","ACH-000238"
"239","HUG1N","stomach","STAD","HUG1N_STOMACH","ACH-000239"
"240","HS600T","fibroblast","SKCM","HS600T_FIBROBLAST","ACH-000240"
"241","JK1","haematopoietic_and_lymphoid_tissue","LCML","JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000241"
"242","RT4","urinary_tract","BLCA","RT4_URINARY_TRACT","ACH-000242"
"243","DANG","pancreas","PAAD","DANG_PANCREAS","ACH-000243"
"244","DKMG","central_nervous_system","GBMLGG","DKMG_CENTRAL_NERVOUS_SYSTEM","ACH-000244"
"245","BL41","haematopoietic_and_lymphoid_tissue","DLBC","BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000245"
"246","SLR23","kidney","KIRC","SLR23_KIDNEY","ACH-000246"
"247","OCUM1","stomach","STAD","OCUM1_STOMACH","ACH-000247"
"248","AU565","breast","BRCA","AU565_BREAST","ACH-000248"
"249","CL11","large_intestine","COADREAD","CL11_LARGE_INTESTINE","ACH-000249"
"250","KMRC20","kidney","KIRC","KMRC20_KIDNEY","ACH-000250"
"251","NCIH2887","lung",NA,"NCIH2887_LUNG","ACH-000251"
"252","LS1034","large_intestine","COADREAD","LS1034_LARGE_INTESTINE","ACH-000252"
"253","COLO201","large_intestine","COADREAD","COLO201_LARGE_INTESTINE","ACH-000253"
"254","SCC15","upper_aerodigestive_tract","HNSC","SCC15_UPPER_AERODIGESTIVE_TRACT","ACH-000254"
"255","LMSU","stomach","STAD","LMSU_STOMACH","ACH-000255"
"256","COV318","ovary","OV","COV318_OVARY","ACH-000256"
"257","CORL279","lung","SCLC","CORL279_LUNG","ACH-000257"
"258","DU4475","breast","BRCA","DU4475_BREAST","ACH-000258"
"259","KELLY","autonomic_ganglia","NB","KELLY_AUTONOMIC_GANGLIA","ACH-000259"
"260","SKNAS","autonomic_ganglia","NB","SKNAS_AUTONOMIC_GANGLIA","ACH-000260"
"261","RERFLCAI","lung","LUSC","RERFLCAI_LUNG","ACH-000261"
"262","UOK101","kidney","KIRC","UOK101_KIDNEY","ACH-000262"
"263","KASUMI1","haematopoietic_and_lymphoid_tissue","LAML","KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000263"
"264","CALU6","lung","LUAD","CALU6_LUNG","ACH-000264"
"265","KP4","pancreas","PAAD","KP4_PANCREAS","ACH-000265"
"266","SNU213","pancreas","PAAD","SNU213_PANCREAS","ACH-000266"
"267","HDLM2","haematopoietic_and_lymphoid_tissue",NA,"HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000267"
"268","SNU245","biliary_tract","CHOL","SNU245_BILIARY_TRACT","ACH-000268"
"269","AM38","central_nervous_system","GBMLGG","AM38_CENTRAL_NERVOUS_SYSTEM","ACH-000269"
"270","HPAC","pancreas","PAAD","HPAC_PANCREAS","ACH-000270"
"271","SUDHL10","haematopoietic_and_lymphoid_tissue","DLBC","SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000271"
"272","SLR24","kidney","KIRC","SLR24_KIDNEY","ACH-000272"
"273","SF539","central_nervous_system","GBMLGG","SF539_CENTRAL_NERVOUS_SYSTEM","ACH-000273"
"274","HS852T","skin","SKCM","HS852T_SKIN","ACH-000274"
"275","HS834T","fibroblast","SKCM","HS834T_FIBROBLAST","ACH-000275"
"276","HCC38","breast","BRCA","HCC38_BREAST","ACH-000276"
"277","HCC1419","breast","BRCA","HCC1419_BREAST","ACH-000277"
"278","COV362","ovary","OV","COV362_OVARY","ACH-000278"
"279","EWS502","bone","SARC","EWS502_BONE","ACH-000279"
"280","SNU840","ovary","OV","SNU840_OVARY","ACH-000280"
"281","KP2","pancreas","PAAD","KP2_PANCREAS","ACH-000281"
"282","NCIH1755","lung","LUAD","NCIH1755_LUNG","ACH-000282"
"283","A1207","central_nervous_system","GBMLGG","A1207_CENTRAL_NERVOUS_SYSTEM","ACH-000283"
"284","HS840T","fibroblast","HNSC","HS840T_FIBROBLAST","ACH-000284"
"285","TOLEDO","haematopoietic_and_lymphoid_tissue","DLBC","TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000285"
