cell_line_name	accession_id	synonym_names	ccle_cell_line_name	gdsc_id	nci_taxonomy_id	lineage_name	doid	doid_heiarchy	broad_id
KP-2	CVCL_3004	['KP2']	KP2_PANCREAS	1298218	C3850	microscopic colitis	DOID:0060182	[u'DOID:0060182', u'DOID:0060180', u'DOID:0050589', u'DOID:5295', u'DOID:77', u'DOID:7', u'DOID:4']	ACH-000281
KP-4	CVCL_1338	['KP4', 'KP4']	KP4_PANCREAS	753572	C3850	microscopic colitis	DOID:0060182	[u'DOID:0060182', u'DOID:0060180', u'DOID:0050589', u'DOID:5295', u'DOID:77', u'DOID:7', u'DOID:4']	ACH-000265
PK-45H	CVCL_6748	['PK-45H', 'PK45H']	PK45H_PANCREAS		C3850	microscopic colitis	DOID:0060182	[u'DOID:0060182', u'DOID:0060180', u'DOID:0050589', u'DOID:5295', u'DOID:77', u'DOID:7', u'DOID:4']	ACH-000468
PK-59	CVCL_4897	['PK59']	PK59_PANCREAS		C3850	microscopic colitis	DOID:0060182	[u'DOID:0060182', u'DOID:0060180', u'DOID:0050589', u'DOID:5295', u'DOID:77', u'DOID:7', u'DOID:4']	ACH-000205
YAPC	CVCL_1794	['']	YAPC_PANCREAS	909904	C3850	microscopic colitis	DOID:0060182	[u'DOID:0060182', u'DOID:0060180', u'DOID:0050589', u'DOID:5295', u'DOID:77', u'DOID:7', u'DOID:4']	ACH-000332
NB4	CVCL_0005	['NB-4', 'NB.4']	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1323913	C3182	acute promyelocytic leukemia	DOID:0060318	[u'DOID:0060318', u'DOID:9119', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000294
BALL-1	CVCL_1075	['Ball-1', 'Ball1', 'BALL1', 'B-cellAcuteLymphoblasticLeukemia-1']	BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910705	C9143	b-cell adult acute lymphocytic leukemia	DOID:0060592	[u'DOID:0060592', u'DOID:5604', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002211
NALM-6	CVCL_0092	['Nalm-6', 'NALM6', 'Nalm6', 'NALM6', 'Nalm6', 'NALM-6-M1']	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908158	C9143	b-cell adult acute lymphocytic leukemia	DOID:0060592	[u'DOID:0060592', u'DOID:5604', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000938
RS4;11	CVCL_0093	['RS4-11', 'RS4:11', 'RS4', '11', 'RS411']	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909703	C9143	b-cell adult acute lymphocytic leukemia	DOID:0060592	[u'DOID:0060592', u'DOID:5604', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000874
ALL-SIL	CVCL_1805	['ALLSIL', 'SIL-ALL', 'Sil-ALL']	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1295740	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000105
BE-13	CVCL_1081	['BE13', 'Be13']	BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	906763	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002216
CCRF-CEM	CVCL_0207	['CCRF/CEM', 'CCRFCEM', 'CCRF.CEM', 'CCRFCEM', 'CCRF', 'CEM', 'CEM-CCRF', 'CEM-CCRF(CAMR)', 'CCRF/CEM/0', 'CEM/0', 'CEM-0', 'CCRF-CEM/S', 'GM03671']	CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	905952	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001738
DND-41	CVCL_2022	['DND41', 'DND41', 'Dnd41']	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1297446	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000981
HPB-ALL	CVCL_1820	['HPB/ALL', 'HPBALL', 'FCCH1018']	HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000942
Jurkat	CVCL_0065	['JURKAT', 'JM', 'JM-Jurkat', 'Jurkat-FHCRC', 'JurkatFHCRC', 'FHCRC-11', 'FHCRCsubclone11', 'FCCH1024']	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	998184	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000995
Karpas-45	CVCL_1326	['KARPAS-45', 'Karpas45', 'KARPAS45', 'KARPAS45', 'K45', 'T-45', 'T45']	KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907272	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002256
MOLT-13	CVCL_1422	['Molt-13', 'MOLT13', 'Molt13', 'MOLT13', 'Molt13']	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908146	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000795
MOLT-16	CVCL_1424	['Molt-16', 'MOLT16', 'MOLT16', 'Molt16']	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908147	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000918
P12-Ichikawa	CVCL_1630	['P12-ICHIKAWA', 'P12/ICHIKAWA', 'P12/Ichikawa', 'P12ichikawa', 'P12/ICH', 'P12/ICh', 'P12-ICH', 'P-12', 'P12']	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909251	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000372
Peer	CVCL_1913	['PEER']	PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000519
PF-382	CVCL_1641	['PF382']	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909260	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000937
RPMI-8402	CVCL_1667	['RPMI8402', 'RPMI8402', 'RoswellParkMemorialInstitute8402']	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909702	C7953	t-cell childhood acute lymphocytic leukemia	DOID:0080145	[u'DOID:0080145', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000636
ALL-PO	CVCL_1069	['']	ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910944	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002209
GR-ST	CVCL_1236	['']	GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	906877	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002238
KOPN-8	CVCL_1866	['Kopn-8', 'KOPN8']	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1330933	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001106
LC4-1	CVCL_1374	['']	LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907787	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002267
MHH-CALL-2	CVCL_1409	['Mhh-Call2', 'MHH-CALL2', 'MHHCALL2']	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908132	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000020
MHH-CALL-3	CVCL_0089	['Mhh-Call3', 'MHHcALL3', 'MHH-CALL3', 'MHH-cALL3', 'MHHCALL3']	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000032
MHH-CALL-4	CVCL_1410	['MHH-CALL4', 'MHHCALL4']	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908133	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000156
P30/OHK	CVCL_1631	['P30-OHK', 'P30OHK', 'P30OHK', 'P30/Ohkubo', 'P30/OHKUBO', 'P30-OHKUBO', 'P30/0HK']	P30OHK_HAEMATOPOIETIC_AND_LYMPHOID	909252	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002059
Reh	CVCL_1650	['REH']	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909696	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000960
SEM	CVCL_0095	['']	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000782
SUP-B15	CVCL_0103	['Sup-B15', 'SUPB-15', 'SUPB15', 'SupB15', 'SupB15W', 'SupB15WT']	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1247871	C9140	b-cell childhood acute lymphoblastic leukemia	DOID:0080146	[u'DOID:0080146', u'DOID:0080144', u'DOID:9952', u'DOID:1037', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000059
SUP-T1	CVCL_1714	['Sup-T1', 'SUPT-1', 'SupT-1', 'SupT-1', 'SUPT-1', 'SUPT1', 'SupT1', 'SupT1', 'SUPT1', 'Tsup-1', 'VB', 'StanfordUniversityPediatricT-cellline1']	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909743	C7210	t-cell childhood lymphoblastic lymphoma	DOID:0080148	[u'DOID:0080148', u'DOID:0080147', u'DOID:0060058', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000953
Mono-Mac-1	CVCL_1425	['MONO-MAC-1', 'MonoMac1', 'Monomac-1', 'MonoMac1', 'MONOMAC1', 'MM1']	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C8263	adult acute monocytic leukemia	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001129
Mono-Mac-6	CVCL_1426	['MONO-MAC-6', 'Mono-mac-6', 'MONO-MAC6', 'MonoMac6', 'MonoMac6', 'MonoMac6', 'MonoMac6', 'MONOMAC6', 'MM6']	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908148	C8263	adult acute monocytic leukemia	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000006
NOMO-1	CVCL_1609	['Nomo-1', 'NOMO1']	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908451	C8263	adult acute monocytic leukemia	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000168
TUR	CVCL_1775	['TPA-U937-resistant']	TUR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909773	C8263	adult acute monocytic leukemia	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002314
U-937	CVCL_0007	['U937', 'U937']	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C8263	adult acute monocytic leukemia	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000406
DiFi	CVCL_6895	['DIFI']	DIFI_LARGE_INTESTINE	1789883	C2955	colorectal carcinoma	DOID:0080199	[u'DOID:0080199', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002233
Hs 255.T	CVCL_0707	['Hs-255-T', 'Hs255T']	HS255T_LARGE_INTESTINE		C2955	colorectal carcinoma	DOID:0080199	[u'DOID:0080199', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000199
