	cell_line_name	accession_id	synonym_names	ccle_cell_line_name	gdsc_id	nci_taxonomy_id	lineage_name	doid	doid_heiarchy	broad_id	broad_id_alt
16	NCI-H835	CVCL_1593	['H835', 'H-835']	NCIH835_LUNG	753607	C4038	lung cancer	DOID:1324	[u'DOID:1324', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002177	
17	UMC-11	CVCL_1784	['UMC11', 'NCI-UMC-11']	UMC11_LUNG	909779	C4038	lung cancer	DOID:1324	[u'DOID:1324', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001417	
18	IHH-4	CVCL_2960	['IHH4']	IHH4_THYROID	1240154	C4035	papillary thyroid carcinoma	DOID:3969	[u'DOID:3969', 'DOID:3963', 'DOID:1781', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001528	
19	CFPAC-1	CVCL_1119	['CFPac-1', 'CFPAC-1', 'CF-PAC1', 'CF-Pac1', 'CFPac1', 'CFPAC1', 'CFPac1', 'CFPAC']	CFPAC1_PANCREAS	906821	C9120	pancreatic ductal adenocarcinoma	DOID:3498	[u'DOID:3498', 'DOID:4074', 'DOID:4905', 'DOID:1793', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000138	
20	CMK	CVCL_0216	['']	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910566	C43223	acute myeloid leukemia	DOID:9119	[u'DOID:9119', 'DOID:8692', 'DOID:1240', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000641	
21	CMK-11-5	CVCL_0217	['CMK11-5', 'CMK11-5', 'CMK115']	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C43223	acute myeloid leukemia	DOID:9119	[u'DOID:9119', 'DOID:8692', 'DOID:1240', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001036	
22	CMK-86	CVCL_2804	['CMK86']	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C43223	acute myeloid leukemia	DOID:9119	[u'DOID:9119', 'DOID:8692', 'DOID:1240', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001037	
23	KATO III	CVCL_0371	['KatoIII', 'Kato-III', 'KATO-III', 'KATOIII', 'KatoIII', 'KATO3', 'JTC-28', 'JapaneseTissueCulture-28']	KATOIII_STOMACH	907276	C5250	gastric signet ring cell adenocarcinoma	DOID:8025	[u'DOID:8025', 'DOID:6217', 'DOID:3717', 'DOID:5517', 'DOID:10534', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000793	
24	AZ-521	CVCL_2862	['AZ521', 'AZ521']	AZ521_STOMACH		C7889	duodenum adenocarcinoma	DOID:10816	[u'DOID:10816', u'DOID:10021', u'DOID:10154', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001015	
25	HuTu 80	CVCL_1301	['HUTU80', 'Hutu80', 'HuTu-80', 'HUTU-80', 'Hutu-80', 'HUTU80', 'HuTu80', 'Hutu80']	HUTU80_SMALL_INTESTINE	907073	C7889	duodenum adenocarcinoma	DOID:10816	[u'DOID:10816', u'DOID:10021', u'DOID:10154', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000538	
26	NT2-D1	CVCL_3407	['NT2/D1', 'NT2D1', 'Nt2D1', 'NTERA-2cloneD1', 'NTERA2-cloneD1', 'NTERA-2cl.D1', 'NTera2cl.D1', 'NTERA-2cl.D1', 'NTera2/cl.D1', 'NTERA-2/D1', 'NTera2/D1', 'NTERA2-D1', 'NTera-2D1', 'Ntera2/D1', 'NTERA2/D1', 'NTERA2D1', 'NTera2D1']	NTERA2CLD1_TESTIS	908454	C3752	embryonal carcinoma	DOID:3308	[u'DOID:3308', u'DOID:688', u'DOID:2994', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002291	
27	STS-0421	CVCL_X508	['STS0421']	STS0421_SOFT_TISSUE	1299061	C4004	gastric adenocarcinoma	DOID:3717	[u'DOID:3717', u'DOID:5517', u'DOID:10534', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002306	
28	Detroit 562	CVCL_1171	['DETROIT562', 'Detroit-562', 'Detroit562', 'DETROIT562', 'Det562', 'Det.562', 'D562']	DETROIT562_UPPER_AERODIGESTIVE_TRACT	906837	C102872	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000207	
29	BICR 22	CVCL_2310	['BICR-22', 'BICR22', 'BICR-22M', 'BeatsonInstituteforCancerResearch22']	BICR22_UPPER_AERODIGESTIVE_TRACT	1240121	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000794	
30	BICR 31	CVCL_2312	['BICR-31', 'BICR31', 'BeatsonInstituteforCancerResearch31']	BICR31_UPPER_AERODIGESTIVE_TRACT	1290725	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000228	
31	CAL-27	CVCL_1107	['Cal-27', 'CAL27', 'Cal27', 'CAL27', 'Cal27', 'CentreAntoineLacassagne-27']	CAL27_UPPER_AERODIGESTIVE_TRACT	910916	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000832	
32	CAL-33	CVCL_1108	['Cal-33', 'CAL33', 'CAL33', 'CentreAntoineLacassagne-33']	CAL33_UPPER_AERODIGESTIVE_TRACT	753541	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000518	
33	HSC-3	CVCL_1288	['HSC3', 'HSC3']	HSC3_UPPER_AERODIGESTIVE_TRACT	907061	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000778	
34	HSC-4	CVCL_1289	['HSC4']	HSC4_UPPER_AERODIGESTIVE_TRACT	907062	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000546	
35	PE/CA-PJ15	CVCL_2678	['PE-CA-PJ15', 'PE/CAPJ15', 'PE/CA-PJ-15', 'PE_CA-PJ15', 'PECAPJ15', 'PECAPJ15']	PECAPJ15_UPPER_AERODIGESTIVE_TRACT	1240207	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000619	
36	SCC-15	CVCL_1681	['SCC15', 'SCC15']	SCC15_UPPER_AERODIGESTIVE_TRACT	910911	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000254	
37	SCC-25	CVCL_1682	['SCC25', 'SCC25', 'hSCC-25']	SCC25_UPPER_AERODIGESTIVE_TRACT	910701	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000188	
38	SCC-4	CVCL_1684	['SCC4', 'SCC4']	SCC4_UPPER_AERODIGESTIVE_TRACT	910904	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000238	
39	SCC-9	CVCL_1685	['SCC9', 'SCC9']	SCC9_UPPER_AERODIGESTIVE_TRACT	909709	C4648	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000181	
40	HN	CVCL_1283	['']	HN_UPPER_AERODIGESTIVE_TRACT	907059	C4833	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001090	
41	HSC-2	CVCL_1287	['HSC2']	HSC2_UPPER_AERODIGESTIVE_TRACT	753562	C4833	head and neck cancer	DOID:11934	[DOID:11934, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000472	
42	HKA1	CVCL_39956	['KA-']	HKA1_SKIN		C3146	keratoacanthoma	DOID:3149	[u'DOID:3149', 'DOID:3151', 'DOID:3451', 'DOID:4159', 'DOID:0060122', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001521	
43	WIL2 NS	CVCL_2761	['WIL2-NS', 'WIL-2NS', 'WIL-2-NS', 'WI-L2NS']	WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331049	C97074	hereditary spherocytosis	DOID:12971	[u'DOID:12971', u'DOID:589', u'DOID:583', u'DOID:720', u'DOID:2355', u'DOID:74', u'DOID:7', u'DOID:4']	ACH-002316	
44	Ci-1	CVCL_1861	['CI-1']	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C3457	B-cell lymphoma	DOID:707	[u'DOID:707', 'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000687	
45	MC116	CVCL_1399	['MC-116', 'MC116']	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907799	C3457	B-cell lymphoma	DOID:707	[u'DOID:707', 'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000583	
46	MHH-PREB-1	CVCL_1413	['MHHPREB1']	MHHPREB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908136	C3457	B-cell lymphoma	DOID:707	[u'DOID:707', 'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002272	
47	SCC-3	CVCL_1683	['SCC3']	SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	910930	C3457	B-cell lymphoma	DOID:707	[u'DOID:707', 'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001642	
48	SU-DHL-16	CVCL_1890	['SUDHL16', 'SUDHL-16', 'StanfordUniversity-DiffuseHistiocyticLymphoma-16', 'DHL-16']	SUDHL16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331034	C3457	B-cell lymphoma	DOID:707	[u'DOID:707', 'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002307	
49	TK [Human B-cell lymphoma]	CVCL_3216	['Tk']	TK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331045	C3457	B-cell lymphoma	DOID:707	[u'DOID:707', 'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002313	
50	G-401	CVCL_0270	['G401', 'G401']	G401_SOFT_TISSUE	907299	C8715	kidney rhabdoid cancer	DOID:3674	[u'DOID:3674', u'DOID:3672', u'DOID:3675', u'DOID:263', u'DOID:3996', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000096	
51	TC-32	CVCL_7151	['TC32']	TC32_BONE		C3716	neuroectodermal tumor	DOID:171	[u'DOID:171', 'DOID:3093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001205	
52	KP-2	CVCL_3004	['KP2']	KP2_PANCREAS	1298218	C3850	pancreatic carcinoma	DOID:4905	[u'DOID:4905', 'DOID:1793', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000281	
53	KP-4	CVCL_1338	['KP4', 'KP4']	KP4_PANCREAS	753572	C3850	pancreatic carcinoma	DOID:4905	[u'DOID:4905', 'DOID:1793', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000265	
54	PK-45H	CVCL_6748	['PK-45H', 'PK45H']	PK45H_PANCREAS		C3850	pancreatic carcinoma	DOID:4905	[u'DOID:4905', 'DOID:1793', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000468	
55	PK-59	CVCL_4897	['PK59']	PK59_PANCREAS		C3850	pancreatic carcinoma	DOID:4905	[u'DOID:4905', 'DOID:1793', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000205	
56	YAPC	CVCL_1794	['']	YAPC_PANCREAS	909904	C3850	pancreatic carcinoma	DOID:4905	[u'DOID:4905', 'DOID:1793', 'DOID:170', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000332	
57	KE-97	CVCL_3386	['KE97']	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C5248	mucinous stomach adenocarcinoma	DOID:3716	[u'DOID:3716', u'DOID:6217', u'DOID:3717', u'DOID:5517', u'DOID:10534', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000167	
58	BICR 10	CVCL_2307	['BICR-10', 'BICR10', 'BICR-10R', 'BeatsonInstituteforCancerResearch10']	BICR10_UPPER_AERODIGESTIVE_TRACT	1290724	C4040	cheek mucosa cancer	DOID:8702	[u'DOID:8702', 'DOID:8618', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001331	
59	G-402	CVCL_1221	['G402']	G402_SOFT_TISSUE	907298	C3486	gastrointestinal stromal tumor	DOID:9253	[u'DOID:9253', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000375	
60	HTK-	CVCL_2522	['']	HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C9145	osteosarcoma	DOID:3347	[u'DOID:3347', u'DOID:184', u'DOID:201', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001094	
61	BICR 18	CVCL_2309	['BICR-18', 'BICR18', 'BICR-18R', 'BeatsonInstituteforCancerResearch18']	BICR18_UPPER_AERODIGESTIVE_TRACT		C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000992	
62	JHU-011	CVCL_5986	['JHU011', 'JHU-011-SCC', 'JHU-O11', 'JHU011', 'HNSCC011', 'O11', '011', '11']	JHU011_HEAD_AND_NECK	1240161	C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002249	
63	JHU-029	CVCL_5993	['JHU-O29', 'JHU029', 'HNSCC029', '029']	JHU029_HEAD_AND_NECK	1298156	C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002251	
64	PCI-04B	CVCL_C171	['PCI-4B', 'PCI-4M', 'PCI-4.2']	PCI4B_HEAD_AND_NECK	1298531	C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002297	
65	SNU-1066	CVCL_5005	['SNU1066']	SNU1066_UPPER_AERODIGESTIVE_TRACT		C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000682	
66	SNU-1076	CVCL_5006	['SNU1076', 'NCI-SNU-1076']	SNU1076_UPPER_AERODIGESTIVE_TRACT		C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000549	
67	SNU-1214	CVCL_5017	['SNU1214', 'NCI-SNU-1214']	SNU1214_UPPER_AERODIGESTIVE_TRACT		C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000715	
68	SNU-46	CVCL_5063	['SNU46']	SNU46_UPPER_AERODIGESTIVE_TRACT		C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000500	
69	SNU-899	CVCL_5105	['SNU899', 'NCI-SNU-899']	SNU899_UPPER_AERODIGESTIVE_TRACT		C4044	laryngeal squamous cell carcinoma	DOID:2876	[u'DOID:2876', 'DOID:2600', 'DOID:2596', 'DOID:0050615', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000692	
70	BICR 6	CVCL_2314	['BICR-6', 'BICR6', 'BeatsonInstituteforCancerResearch6']	BICR6_UPPER_AERODIGESTIVE_TRACT		C4043	hypopharynx cancer	DOID:8533	[u'DOID:8533', 'DOID:0060119', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000415	
71	FaDu	CVCL_1218	['FADU']	FADU_UPPER_AERODIGESTIVE_TRACT	906863	C4043	hypopharynx cancer	DOID:8533	[u'DOID:8533', 'DOID:0060119', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000846	
72	SNU-1041	CVCL_L085	['SNU1041', 'SNU1041']	SNU1041_UPPER_AERODIGESTIVE_TRACT		C4043	hypopharynx cancer	DOID:8533	[u'DOID:8533', 'DOID:0060119', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000618	
73	UD-SCC-2	CVCL_E325	['UD-SCC2', 'UD-SCC2', 'UDSCC2']	UDSCC2_UPPER_AERODIGESTIVE_TRACT	1299073	C4043	hypopharynx cancer	DOID:8533	[u'DOID:8533', 'DOID:0060119', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002391
74	HH [Human lymphoma]	CVCL_1280	['']	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907056	C3467	non-Hodgkin lymphoma	DOID:0060060	[u'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000061	
75	MJ	CVCL_1414	['G11']	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C3467	non-Hodgkin lymphoma	DOID:0060060	[u'DOID:0060060', 'DOID:0060058', 'DOID:2531', 'DOID:0060083', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000077	
76	S-117	CVCL_1674	['S117']	S117_SOFT_TISSUE	910946	C6041	thyroid sarcoma	DOID:4515	[u'DOID:4515', u'DOID:1781', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000037	
77	A-388	CVCL_1063	['A388']	A388_SKIN	910697	C2929	squamous cell carcinoma	DOID:1749	[u'DOID:1749', 'DOID:305', 'DOID:0050687', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001442	
78	EFM-19	CVCL_0253	['EFM19']	EFM19_BREAST	906851	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000330	
79	HCC1143	CVCL_1245	['HCC-1143']	HCC1143_BREAST	749710	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000374	
80	HCC1187	CVCL_1247	['HCC-1187']	HCC1187_BREAST	749711	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000111	
81	HCC1395	CVCL_1249	['HCC-1395', 'SCC-1395']	HCC1395_BREAST	749712	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000699	
82	HCC1419	CVCL_1251	['HCC-1419']	HCC1419_BREAST	907045	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000277	
83	HCC1500	CVCL_1254	['']	HCC1500_BREAST	1303900	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000349	
84	HCC1569	CVCL_1255	['HCC-1569']	HCC1569_BREAST	907046	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000930	
85	HCC1599	CVCL_1256	['HCC-1599']	HCC1599_BREAST	749713	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000196	
86	HCC1937	CVCL_0290	['HCC-1937']	HCC1937_BREAST	749714	C4017	invasive ductal carcinoma	DOID:3008	[u'DOID:3008', 'DOID:3007', 'DOID:3459', 'DOID:1612', 'DOID:5093', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-000223	
