"","DepMap_ID","CCL_name","COSMIC_ID","TCGA_combine","TCGA_manual","primary_DepMap","subtype_DepMap","primary_site_CTRP","primary_hist_CTRP","subtype_CTRP","tissue1_GDSC","tissue2_GDSC","TCGA_CCLE","TCGA_GDSC"
"49","ACH-000340","HS870T",NA,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,NA,NA,"SARC",NA
"50","ACH-000529","T173",NA,"SARC",NA,"Bone Cancer","Osteosarcoma","bone","osteosarcoma",NA,NA,NA,"SARC",NA
"51","ACH-000748","SJSA1",909717,"SARC",NA,"Bone Cancer","Osteosarcoma, Multipotential Sarcoma","bone","osteosarcoma",NA,"bone","bone_other","SARC",NA
"52","ACH-000232","U251MG",905983,"GBM",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","GBM","GBM"
"53","ACH-000329","CCFSTTG1",906823,"GBM",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","GBM","GBM"
"54","ACH-000609","SF126",909712,"GBM",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","GBM","GBM"
"55","ACH-000883","SW1783",909750,"LGG",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma","astrocytoma_Grade_III","nervous_system","glioma","LGG","LGG"
"56","ACH-000490","SF767",NA,"CESC",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma","astrocytoma_Grade_III",NA,NA,"CESC",NA
"57","ACH-001198","SNB19",NA,"LGG",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"LGG",NA
"58","ACH-000437","SW1088",909745,"GBM",NA,"Brain Cancer","Astrocytoma","central_nervous_system","glioma",NA,"nervous_system","glioma","GBM","GBM"
"59","ACH-002269","LNZTA3WT4",1240170,"GBM",NA,"Brain Cancer","Astrocytoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"60","ACH-002304","SKMG1",909729,"GBM",NA,"Brain Cancer","Astrocytoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"61","ACH-002257","KINGS1",907279,"LGG",NA,"Brain Cancer","Astrocytoma, anaplastic",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"62","ACH-000040","U118MG",687588,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","GBM","GBM"
"63","ACH-000075","U87MG",687590,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","GBM","GBM"
"64","ACH-000102","GMS10",906873,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"65","ACH-000137","8MGBA",687562,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"66","ACH-000244","DKMG",906839,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"67","ACH-000269","AM38",910933,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"68","ACH-000376","SF295",905985,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"69","ACH-000464","CAS1",910943,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"70","ACH-000469","YH13",909905,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"71","ACH-000558","A172",687563,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"72","ACH-000570","YKG1",687592,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"73","ACH-000571","T98G",687586,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"74","ACH-000595","LN229",1240169,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"75","ACH-000631","KS1",907313,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"76","ACH-000738","GB1",687568,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"77","ACH-000819","LN18",1240168,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"78","ACH-000863","DBTRG05MG",906835,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"79","ACH-000152","M059K",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"80","ACH-000760","LNZ308",NA,"LGG",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"LGG",NA
"81","ACH-000289","SNU466",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"82","ACH-000368","SNU1105",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"83","ACH-000370","SNU626",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"84","ACH-000445","KNS60",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"85","ACH-000479","KNS81",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"86","ACH-000543","SNU489",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"87","ACH-000623","SNU201",NA,"GBM",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"88","ACH-000756","GI1",906871,"LGG",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma","gliosarcoma","nervous_system","glioma","LGG","LGG"
"89","ACH-000098","GAMG",906868,"LGG",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma",NA,"nervous_system","glioma","LGG","LGG"
"90","ACH-000231","KALS1",907271,"LGG",NA,"Brain Cancer","Glioblastoma","central_nervous_system","glioma",NA,"nervous_system","glioma","LGG","LGG"
"91","ACH-002223","D245MG",946366,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"92","ACH-002224","D247MG",946367,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"93","ACH-002225","D263MG",946368,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"94","ACH-002226","D336MG",946369,"LGG",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"95","ACH-002227","D392MG",946370,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"96","ACH-002228","D423MG",946372,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"97","ACH-002229","D502MG",946373,"LGG",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"98","ACH-002230","D542MG",753549,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"99","ACH-002231","D566MG",946377,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"100","ACH-002259","KNS81FD",924188,"LGG",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"101","ACH-002268","LN405",910694,"GBM",NA,"Brain Cancer","Glioblastoma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"102","ACH-001125","MOGGCCM",908144,"LGG",NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","LGG","LGG"
"103","ACH-001126","MOGGUVW",908145,"LGG",NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma","nervous_system","glioma","LGG","LGG"
"104","ACH-000323","42MGBA",687561,"GBM",NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"105","ACH-001016","BECKER",906746,"GBM",NA,"Brain Cancer","Glioma","central_nervous_system","glioma","astrocytoma_Grade_IV","nervous_system","glioma","GBM","GBM"
"106","ACH-000067","HS683",1240150,"LGG",NA,"Brain Cancer","Glioma","central_nervous_system","glioma",NA,"nervous_system","glioma","LGG","LGG"
"107","ACH-000200","NMCG1",908449,"LGG",NA,"Brain Cancer","Glioma","central_nervous_system","glioma",NA,"nervous_system","glioma","LGG","LGG"
"108","ACH-000622","KNS42",907282,"LGG",NA,"Brain Cancer","Glioma","central_nervous_system","glioma",NA,"nervous_system","glioma","LGG","LGG"
"109","ACH-000273","SF539",905984,"LGG",NA,"Brain Cancer","Glioma",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"110","ACH-001118","M059J",949094,"GBM",NA,"Brain Cancer","Glioma",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"111","ACH-001605","NO10",908452,"LGG",NA,"Brain Cancer","Glioma",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"112","ACH-001606","NO11",908450,"LGG",NA,"Brain Cancer","Glioma",NA,NA,NA,"nervous_system","glioma","LGG","LGG"
"113","ACH-000055","D283MED",906834,"MB",NA,"Brain Cancer","Medulloblastoma","central_nervous_system","primitive_neuroectodermal_tumor_medulloblastoma",NA,"nervous_system","medulloblastoma","MB","MB"
"114","ACH-000776","ONS76",909248,"MB",NA,"Brain Cancer","Medulloblastoma","central_nervous_system","primitive_neuroectodermal_tumor_medulloblastoma",NA,"nervous_system","medulloblastoma","MB","MB"
"115","ACH-000095","D341MED",NA,"MB",NA,"Brain Cancer","Medulloblastoma","central_nervous_system","primitive_neuroectodermal_tumor_medulloblastoma",NA,NA,NA,"MB",NA
"116","ACH-000389","H4",907042,"LGG",NA,"Brain Cancer","Neuroglioma","central_nervous_system","glioma",NA,"nervous_system","glioma","LGG","LGG"
"117","ACH-000126","KG1C",NA,"GBM",NA,"Brain Cancer","Oligodendroglioma","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,NA,"GBM",NA
"118","ACH-000211","DAOY",906833,"MB",NA,"Brain Cancer","Primitive Neuroectodermal Tumor (PNET) Medulloblastoma","central_nervous_system","primitive_neuroectodermal_tumor_medulloblastoma",NA,"nervous_system","medulloblastoma","MB","MB"
"119","ACH-001711","PFSK1",683667,"MB",NA,"Brain Cancer","Primitive Neuroectodermal Tumor (PNET) Medulloblastoma",NA,NA,NA,"nervous_system","medulloblastoma","MB","MB"
"120","ACH-000504","SNB75",905982,"GBM",NA,"Brain Cancer","Unknown",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"121","ACH-000655","SF268",905986,"GBM",NA,"Brain Cancer","Unknown",NA,NA,NA,"nervous_system","glioma","GBM","GBM"
"122","ACH-000117","EFM192A",1290798,"BRCA",NA,"Breast Cancer","Adenocarcinoma","breast","carcinoma",NA,"breast","breast","BRCA","BRCA"
"123","ACH-000248","AU565",910704,"BRCA",NA,"Breast Cancer","Adenocarcinoma","breast","carcinoma",NA,"breast","breast","BRCA","BRCA"
"124","ACH-000223","HCC1937",749714,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"125","ACH-000277","HCC1419",907045,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"126","ACH-000288","BT549",905951,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"127","ACH-000330","EFM19",906851,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"128","ACH-000374","HCC1143",749710,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"129","ACH-000111","HCC1187",749711,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"130","ACH-000147","T47D",905945,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"131","ACH-000624","HCC1806",907047,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA",NA
"132","ACH-000276","HCC38",749717,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"133","ACH-000568","UACC812",910910,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"134","ACH-000699","HCC1395",749712,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"135","ACH-000711","JIMT1",1298157,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"136","ACH-000725","HCC202",1290906,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"137","ACH-000859","HCC1954",749709,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"138","ACH-000536","BT20",906801,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"139","ACH-000927","BT474",946359,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"140","ACH-000643","HDQP1",1290922,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"141","ACH-000759","MDAMB175VII",908120,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"142","ACH-000349","HCC1500",1303900,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"143","ACH-000828","ZR7530",909907,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"144","ACH-000196","HCC1599",749713,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"145","ACH-000668","HCC70",907048,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"146","ACH-000818","BT483",949093,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"147","ACH-000554","UACC893",909778,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"148","ACH-000902","CAL148",924106,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"149","ACH-000755","HCC2218",749716,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"150","ACH-000691","HCC2157",749715,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"151","ACH-000097","ZR751",NA,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma",NA,NA,"BRCA",NA
"152","ACH-000044","MDAMB134VI",NA,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma","breast","carcinoma","ductal_carcinoma",NA,NA,"BRCA",NA
"153","ACH-002208","YMB1E",1303911,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma",NA,NA,NA,"breast","breast","BRCA","BRCA"
"154","ACH-000621","MDAMB157",925338,"BRCA",NA,"Breast Cancer","Breast Ductal Carcinoma, medullary","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"155","ACH-000148","HS578T",905957,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"156","ACH-000258","DU4475",906844,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma","ductal_carcinoma","breast","breast","BRCA","BRCA"
"157","ACH-000028","KPL1",NA,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma","ductal_carcinoma",NA,NA,"BRCA",NA
"158","ACH-000930","HCC1569",907046,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma","metaplastic_carcinoma","breast","breast","BRCA","BRCA"
"159","ACH-000019","MCF7",905946,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,"breast","breast","BRCA","BRCA"
"160","ACH-001065","EVSAT",906862,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,"breast","breast","BRCA","BRCA"
"161","ACH-000352","HCC1428",1290905,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,"breast","breast","BRCA","BRCA"
"162","ACH-000573","MDAMB436",1240172,"BRCA",NA,"Breast Cancer","Carcinoma","breast","carcinoma",NA,"breast","breast","BRCA","BRCA"
