n_replicates,DepMap_ID,cell_line_SSMD,culture_type,culture_medium,aliases,CCLE_name,primary_tissue,secondary_tissue,tertiary_tissue,cas9_activity
3,ACH-000053,-1.177145443732853,Suspension,RPMI 1640 + 2mM Glutamine + 20% FBS,KARPAS-299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,ALCL,,44.5
2,ACH-000054,-1.9048367453128852,Adherent,EMEM; 10.0% FBS,HT-1080,HT1080_SOFT_TISSUE,soft_tissue,fibrosarcoma,,14.1
2,ACH-000055,-1.6781273038008273,Semi-Adherent,E10,"D283 Med, D283",D283MED_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,med_group_3,30.7
2,ACH-000060,-1.6947222251204224,Adherent,RPMI; 15% FBS; 2mM Glutamine; 1.5 g/L Sodium bicarbonate; 4.5g/L glucose; 10mM HEPES; 1mM Sodium Pyruvate; 10 units/mL Insulin,Panc 10.05,PANC1005_PANCREAS,pancreas,,,6.8
2,ACH-000067,-1.2910921076072903,Adherent,DMEM; 10% FBS,Hs 683,HS683_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,oligodendroglioma,39.3
2,ACH-000070,-1.414048897617208,Suspension,RPMI; 20% heat inactive FBS,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,B-cell_ALL,,48
2,ACH-000075,-0.8251258421041601,Adherent,EMEM; 10% FBS,U-87 MG,U87MG_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,37.9
3,ACH-000078,-1.9232378063561304,Semi-Adherent,RPMI-1640: 10%FBS,MHH-NB-11,MHHNB11_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,39.7
2,ACH-000082,-1.1277036752430147,Adherent,M10,"G-292, clone A141B1, G292CLONEA141B1, G-292 clone A141B1",G292CLONEA141B1_BONE,bone,osteosarcoma,,24.8
1,ACH-000085,-1.3115881439072858,Adherent,Ham F-10: 90.0%;10%FBS,T3M-4,T3M4_PANCREAS,pancreas,,,7.1
2,ACH-000086,-2.013011147811329,Adherent,R10+Glutamax-1;sodium pyruvate,ACC-MESO-1,ACCMESO1_PLEURA,mesothelioma,,,21.4
2,ACH-000087,-1.4031682988734528,,,SK-ES-1,SKES1_BONE,bone,Ewing_sarcoma,,42
2,ACH-000092,-1.1424131290643114,Adherent,RPMI; 10% FBS,NCI-H2452,NCIH2452_PLEURA,mesothelioma,,,14.3
3,ACH-000095,-1.798387811032728,Semi-Adherent,DMEM:F12 (1:1); 15% FBS,"D341, D341MED",D341MED_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,med_group_3,4.4
2,ACH-000097,-1.5246593955156922,Adherent,RPMI; 10% FBS,ZR-75-1,ZR751_BREAST,breast,ERpos,,20.9
2,ACH-000098,-1.0546690208265028,Adherent,"DMEM, 10%FBS, 2mM Glutamax-1",GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,8.9
3,ACH-000099,-2.1452412942079597,Adherent,RPMI-1640: 10%FBS,SIMA,SIMA_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,41
3,ACH-000108,-1.0705946445759649,Adherent,RPMI-1640: 10%FBS,KP-3,KP3_PANCREAS,pancreas,,,30.9
2,ACH-000113,-2.0515439967411124,Suspension,"MEMalpha, 20% FBS",OCI-AML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,42.1
2,ACH-000116,-1.5348704483088442,Adherent,DMEM; 10% FBS,OAW28,OAW28_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,49.9
4,ACH-000118,-2.584950269365491,Adherent,MEM; 10% FBS,HUP-T3,HUPT3_PANCREAS,pancreas,,,29.8
4,ACH-000120,-1.6972741476014992,Adherent,EMEM:F12 (1:1); 10% FBS,CHP-212,CHP212_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,54.8
3,ACH-000123,-2.1477576317154043,Adherent,DMEM; 10% FBS; 2mM L-glutamine,COV434,COV434_OVARY,ovary,ovary_adenocarcinoma,ovary_endometrioid,57
1,ACH-000127,-1.669697288103672,Adherent,RPMI; 10% FBS,SLR 20,SLR20_KIDNEY,kidney,,,12
2,ACH-000128,-1.4023875117294655,Adherent,DMEM: 90.0%,LN-319,LN319_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,31.2
1,ACH-000132,-1.1808981134121677,Adherent,DMEM/F12 (1:1);10 % FBS; ,JHOS-2,JHOS2_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,16.2
2,ACH-000133,-1.312287054647474,Adherent,DMEM; 5% FBS,Hs 729,HS729_SOFT_TISSUE,fibroblast,,,28
2,ACH-000137,-0.8697676467582434,Adherent,EMEM: 80.0%,8-MG-BA,8MGBA_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,45.7
3,ACH-000138,-1.356132561535899,Adherent,DMEM; 10% FBS,CFPAC-1,CFPAC1_PANCREAS,pancreas,,,32.9
2,ACH-000142,-1.4798505426245117,Adherent,DMEM; 10% FBS,CAL-29,CAL29_URINARY_TRACT,urinary_tract,,,17.2
2,ACH-000143,-1.6746951872816769,Adherent,RPMI; 10% FBS,,HCC2429_LUNG,lung,lung_NSC,,24.6
3,ACH-000146,-0.9557421548151576,Suspension,RPMI-1640: 10%FBS; BME (0.05mM),THP-1,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,34.4
3,ACH-000148,-1.3918884588598608,Adherent,DMEM; 10% FBS,Hs 578T,HS578T_BREAST,breast,TNBC,,29.1
1,ACH-000150,-1.9242486768178824,Adherent,RPMI-1640: 10%FBS,HCC2935,HCC2935_LUNG,lung,lung_NSC,lung_adenocarcinoma,16.8
2,ACH-000152,-1.1436995868785838,Adherent,DMEM/F12 (1:1);10 % FBS; ,M059K,M059K_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,25.5
1,ACH-000153,-0.9022475515480876,Adherent,RPMI; 10% FBS,NCI-H2052,NCIH2052_PLEURA,mesothelioma,,,30.5
2,ACH-000159,-1.187114207572224,Adherent,RPMI;10% FBS; ,OS-RC-2,OSRC2_KIDNEY,kidney,,,19.4
2,ACH-000163,-0.8885946885242324,Adherent,DMEM: 90.0%,SW579,SW579_THYROID,thyroid,,,47.5
2,ACH-000168,-1.3806345672436322,Suspension,RPMI; 10% FBS,NOMO-1,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,17.8
2,ACH-000169,-1.8263936574850388,Adherent,"DMEM:HAM's F12  1:1;5% FBS; .005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",RD,RD_SOFT_TISSUE,rhabdomyosarcoma,,,18.9
2,ACH-000178,-1.7423846431118348,Adherent,DMEM; 10% FBS,Hs 766T,HS766T_PANCREAS,pancreas,,,6.2
2,ACH-000183,-1.5579448253747263,Suspension,RPMI; 15% FBS,L-363,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,5.1
2,ACH-000188,-1.7788464259519563,,DMEM/F12 (1:1); 10 % FBS; 0.4 ug/ml hydrocortisone,SCC-25,SCC25_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,9.3
2,ACH-000189,-0.7537178291282279,Adherent,DMEM: 90.0%,RCC10RGB,RCC10RGB_KIDNEY,kidney,,,52.4
2,ACH-000190,-1.99614433187774,Adherent,90% RPMI 1640 + 10% h.i. FBS,HD-MY-Z,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,Hodgkin_lymphoma,,21.6
2,ACH-000198,-2.3776018236728165,Suspension,RPMI-1640: 90.0%,EOL-1,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,29.8
1,ACH-000203,-0.6162097856478019,Adherent,RPMI-1640: 10%FBS,NH-6,NH6_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,55
2,ACH-000204,-1.54010839772118,Semi-adherent,IMDM; 10% FBS,LP-1,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,4.8
2,ACH-000206,-1.227557247308115,Suspension,"RPMI-1640: 90.0%,10FBS+Glutamax-1",,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,T-cell_lymphoma_other,,20.5
2,ACH-000207,-0.8653585449223588,,EMEM: 10%FBS,Detroit 562,DETROIT562_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,18.6
2,ACH-000208,-0.7221076015130347,Adherent,DMEM; 10% FBS,U-178,U178_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,51.7
2,ACH-000210,-0.8186447423971446,Suspension,RPMI; 10% FBS,"CADO-ES1, CADO-ES-1",CADOES1_BONE,bone,Ewing_sarcoma,,2.2
2,ACH-000211,-1.2519435177183829,Adherent,EMEM: 90.0% 10%FBS,Daoy,DAOY_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,medulloblastoma,non-MYC,8.4
2,ACH-000215,-1.424206455040827,Adherent,DMEM; 10% FBS,"LN382, LN-382",LN382_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,no data available
2,ACH-000221,-1.450696453622596,Adherent,RPMI; 10% FBS,SNU-398,SNU398_LIVER,liver,,,41.3
4,ACH-000222,-0.8054426158588155,Adherent,RPMI; 10% FBS,AsPC-1,ASPC1_PANCREAS,pancreas,,,57.2
2,ACH-000223,-1.2850860692795725,Adherent,RPMI-1640; 10%FBS,HCC1937,HCC1937_BREAST,breast,TNBC,,12.5
4,ACH-000226,-2.3266419321671186,Suspension,RPMI 1640 + 20% FBS,SUP-M2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,ALCL,,46.7
3,ACH-000227,-0.9502601959209148,Adherent,RPMI-1640: 10%FBS,KP-N-YN,KPNYN_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,47.1
2,ACH-000228,-1.0909217713872847,Adherent,DMEM; 10% FBS,BICR 31,BICR31_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,44.3
2,ACH-000231,-1.469201911151886,Adherent,"RPMI; 5% FBS
",KALS-1,KALS1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,7.2
2,ACH-000232,-2.2641833303991867,Adherent,DMEM; 10% FBS,"U-251 MG, U251-MG",U251MG_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,11.3
2,ACH-000233,-1.6027742318031295,Suspension,RPMI-1640: 90.0%,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,T-cell_lymphoma_other,,18.7
2,ACH-000234,-0.8615702852454847,Adherent,McCoy's 5A;10% FBS; ,Caki-2,CAKI2_KIDNEY,kidney,,,44.5
4,ACH-000235,-1.3355213279014293,,"RPMI-1640, 15%FBS, 20ug/ml human insulin ",Panc 04.03,PANC0403_PANCREAS,pancreas,,,16.9
3,ACH-000237,-0.8468576944000452,,DMEM:F12 (1:1); 10% FBS; 0.1mM NEAA,JHOM-1,JHOM1_OVARY,ovary,ovary_adenocarcinoma,ovary_mucinous,36.7
2,ACH-000238,-1.0896878474433558,Adherent,DMEM/F12 (1:1); 10 % FBS; 0.4 ug/ml hydrocortisone,SCC-4,SCC4_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,18.4
2,ACH-000242,-0.9646834067647396,Adherent,M10,RT4,RT4_URINARY_TRACT,urinary_tract,,,58.1
4,ACH-000243,-1.354782774672198,Adherent,RPMI-1640: 90.0%,DAN-G,DANG_PANCREAS,pancreas,,,11.5
2,ACH-000244,-1.053559964183186,Adherent,R10 + 2mM glutamine,DK-MG,DKMG_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,49.6
2,ACH-000246,-1.8612587603623183,Adherent,RPMI;10% FBS w/ kanamycin,SLR 23,SLR23_KIDNEY,kidney,,,17
2,ACH-000248,-1.4504519329203542,Adherent,DMEM; 10% FBS,AU565,AU565_BREAST,breast,HER2Amp,,36.2
2,ACH-000250,-1.38013276804006,Adherent,RPMI; 10% FBS,KMRC-20,KMRC20_KIDNEY,kidney,,,15.2
2,ACH-000251,-0.9265315781035136,Adherent,RPMI; 10% FBS,NCI-H2887,NCIH2887_LUNG,lung,lung_NSC,,37.8
3,ACH-000252,-1.001654414602086,Adherent,RPMI; 10% FBS,LS1034,LS1034_LARGE_INTESTINE,colorectal,,,15.7
2,ACH-000253,-1.4405108264625412,Mixed adherence ,RPMI-1640: 90.0%,COLO 201,COLO201_LARGE_INTESTINE,colorectal,,,16.6
2,ACH-000255,-2.0488088040651027,epithelial-like,HamF10+10%FBS,LMSU,LMSU_STOMACH,gastric,,,13.8
2,ACH-000256,-1.3446536542374603,Adherent,EMEM; 10% FBS,COV318,COV318_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,28.3
2,ACH-000257,-1.678091008904089,Semi-adherent,RPMI;10% FBS; 2mM GLUTAMINE,COR-L279,CORL279_LUNG,lung,lung_small,,15.1
2,ACH-000258,-0.9130848447437336,Suspension,RPMI; 10% FBS,Du4475,DU4475_BREAST,breast,TNBC,,55.9
3,ACH-000259,-1.724737727368517,Adherent,RPMI-1640: 10%FBS,KELLY,KELLY_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,28.3
3,ACH-000260,-1.6301222023391788,Adherent,DMEM; 10% FBS; NEAA,SK-N-AS,SKNAS_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,16.2
2,ACH-000261,-1.2030086573588044,Adherent,EMEM: 10% FBS,RERF-LC-AI,RERFLCAI_LUNG,lung,lung_NSC,lung_squamous,5.9
2,ACH-000262,-1.3213545453375697,Adherent,DMEM; 10% FBS,UOK101,UOK101_KIDNEY,kidney,,,38.7
2,ACH-000264,-1.0696298134847566,Adherent,EMEM: 90.0% 10%FBS,Calu-6,CALU6_LUNG,lung,lung_NSC,,8.1
4,ACH-000265,-2.5215496680483698,Adherent,DMEM:F12 (1:1); 10% FBS,KP4,KP4_PANCREAS,pancreas,,,11.7
4,ACH-000266,-1.0260448903100334,Adherent,"RPMI-1640: 10%FBS, 2mM L-glutamine",SNU-213,SNU213_PANCREAS,pancreas,,,14.2
2,ACH-000274,-1.199022793378532,Adherent,DMEM: 90.0%; 10%FBS,Hs 852.T,HS852T_SKIN,skin,melanoma,,6.1
2,ACH-000277,-1.025654826599731,Adherent,RPMI-1640: 90.0%,HCC1419,HCC1419_BREAST,breast,HER2Amp,,48.7
3,ACH-000278,-1.0593954211738292,Adherent,DMEM; 10% FBS; 2mM L-glutamine,COV362,COV362_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,16.5
2,ACH-000279,-1.2742047343471476,Adherent,RPMI; 15% FBS; 2mM glutamine,EWS502,EWS502_BONE,bone,Ewing_sarcoma,,15.7
3,ACH-000280,-1.242276776398388,Adherent,RPMI; 10% FBS,SNU-840,SNU840_OVARY,ovary,ovary_non_epithelial,Brenner_tumor,45.9
3,ACH-000281,-1.4359657728729889,Adherent,RPMI; 10% FBS,KP-2,KP2_PANCREAS,pancreas,,,15
3,ACH-000288,-1.3513383392828946,Adherent,RPMI-1640: 10% heat inactivated FBS,BT-549,BT549_BREAST,breast,TNBC,,22.6
2,ACH-000291,-1.4778390660863132,Adherent, 1:1 mixture of MCDB 105 medium with 1.5 g/L sodium bicarbonate added and Medium 199; 10% FBS,OV-90,OV90_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,12.4
2,ACH-000293,-0.9272077070802404,Adherent,"DMEM/F-12 (1:1): 900%, 10%FBS",KLE,KLE_ENDOMETRIUM,uterus,uterus_endometrium,,44
3,ACH-000294,-0.7716441798899292,Suspension,RPMI;10% FBS; ,NB-4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,good
2,ACH-000295,-1.0564134341756963,Suspension,RPMI-1640: 90.0%,EM-2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,CML,,41.9
3,ACH-000296,-1.1447619777137257,Adherent,DMEM; 10% FBS;,OUMS-23,OUMS23_LARGE_INTESTINE,colorectal,,,20.9
2,ACH-000302,-1.1700535030548138,Adherent,RPMI; 10% FBS,SNU-1077,SNU1077_ENDOMETRIUM,uterus,uterus_endometrium,,13.2
2,ACH-000304,-0.8739584829525744,Adherent,EMEM: 10% FBS,WM-115,WM115_SKIN,skin,melanoma,,51.7
2,ACH-000307,-1.3287791189040907,Adherent,"RPMI-1640: 90.0%,10%FBS",PK-1,PK1_PANCREAS,pancreas,,,17.5
3,ACH-000308,-1.0652986890887226,Adherent,RPMI; 20% FBS; 0.1mM NEAA; 1mM Sodium Pyruvate,EFO-21,EFO21_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,28.2
3,ACH-000310,-1.3384453086850063,Adherent,"EMEM, 10%FBS",IMR-32,IMR32_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,39.9
4,ACH-000311,-1.2804519906439815,Adherent,RPMI; 10% FBS,NCI-H2122,NCIH2122_LUNG,lung,lung_NSC,lung_adenocarcinoma,31.1
4,ACH-000312,-1.8764331742794824,Adherent,EMEM:F12 (1:1); 10% FBS,SK-N-BE(2),SKNBE2_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,49.1
2,ACH-000315,-1.262276135024281,Suspension,RPMI; 20% FBS,KARPAS-422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,DLBCL,,23.4
2,ACH-000316,-0.9890712273206445,Adherent,RPMI; 10% FBS,SNU-886,SNU886_LIVER,liver,,,17
2,ACH-000317,-0.904725521157607,Adherent,RPMI; 10% FBS,TUHR14TKB,TUHR14TKB_KIDNEY,kidney,,,37
2,ACH-000319,-1.0026919285681852,Adherent,DMEM: 90.0%,MPP 89,MPP89_PLEURA,mesothelioma,,,44.2
4,ACH-000320,-0.8364805790072762,Adherent,RPMI 1640 + 2mM Glutamine + 10% FBS,"PSN1, GR-M",PSN1_PANCREAS,pancreas,,,21.1
2,ACH-000322,-1.1644350375201151,Adherent,McCoy 5A: 10%FBS,HT-144,HT144_SKIN,skin,melanoma,,50.5
2,ACH-000323,-1.335499810144335,Adherent,RPMI 1640 + EMEM (1:1): 80.0%,42-MG-BA,42MGBA_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,27.4
3,ACH-000324,-1.5781874794975963,Adherent,DMEM:F12 (1:1); 10% FBS; 0.1mM NEAA,JHOC-5,JHOC5_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,17.9
2,ACH-000329,-1.1129773874450026,Adherent,RPMI-1640: 90.0%,CCF-STTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,18.5
2,ACH-000330,-1.3205788174865771,Adherent,RPMI; 10% FBS,EFM-19,EFM19_BREAST,breast,,,32
2,ACH-000331,-2.6970423287310887,Adherent,"DMEM: 90.0%; L-glutamine: 2.0 mM, NEAA( Non-essential Amino Acids): 5.0 ml","IST-MES2, IST-MES-2",ISTMES2_PLEURA,mesothelioma,,,36.2
4,ACH-000332,-1.4137053476389725,Adherent,RPMI-1640: 10%FBS,YAPC,YAPC_PANCREAS,pancreas,,,7
2,ACH-000334,-0.7493185993222302,Suspension,RPMI-1640: 10%FBS,DB,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,DLBCL,,41.2
2,ACH-000335,-2.59058124020596,Adherent,RPMI-1640: 90.0%,MSTO-211H,MSTO211H_PLEURA,mesothelioma,,,19.5
2,ACH-000336,-0.7688047400826613,Suspension,"MEMalpha, 20% FBS",OCI-AML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,48.4
2,ACH-000337,-1.0864610235887506,Adherent,RPMI; 10% FBS,NCI-H3122,NCIH3122_LUNG,lung,lung_NSC,lung_adenocarcinoma,18.5
1,ACH-000338,-0.8992295813650779,Suspension,RPMI 1640 + 15% FBS,"SR-786, SR",SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,ALCL,,10.4
3,ACH-000339,-1.490665479895218,Adherent,RPMI-1640: 10%FBS,,HCC461_LUNG,lung,lung_NSC,lung_adenocarcinoma,6.9
2,ACH-000341,-0.6483350642081541,Adherent,DMEM; 10% FBS; NEAA,SK-N-FI,SKNFI_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,69
2,ACH-000348,-0.9623237468656588,Adherent,RPMI-1640; 10%FBS,RPMI-7951,RPMI7951_SKIN,skin,melanoma,,18.8
3,ACH-000350,-1.598057774673777,Adherent,RPMI-1640: 10%FBS,COLO-678,COLO678_LARGE_INTESTINE,colorectal,,,10.7
2,ACH-000352,-1.428216537156202,Adherent,RPMI; 10% FBS,HCC1428,HCC1428_BREAST,breast,ERpos,,7.5
2,ACH-000356,-1.7338305488764651,Adherent,RPMI; 10% FBS,MKN-45,MKN45_STOMACH,gastric,gastric_adenocarcinoma,diffuse_gastric,23.9
2,ACH-000361,-1.7843805815854876,Adherent,EMEM: 10.0% FBS,SK-HEP-1,SKHEP1_LIVER,liver,,,19.1
3,ACH-000362,-1.5586213931372883,Suspension,RPMI;20% FBS; ,MOLM-13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,
2,ACH-000363,-1.2739355148796685,Suspension,RPMI; 10% FBS,SK-MM-2,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,4.7
2,ACH-000364,-1.5860132623460792,Adherent,McCoy's 5A; 10% FBS,"U-2 OS, U2-OS, U-2 OS",U2OS_BONE,bone,osteosarcoma,,52.6
2,ACH-000365,-1.9742415563674696,Suspension,RPMI; 20% FBS,SU-DHL-4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,DLBCL,,26.9
2,ACH-000366,-1.2603880137970274,Adherent,DMEM; 10% FBS; NEAA,SK-N-DZ,SKNDZ_AUTONOMIC_GANGLIA,peripheral_nervous_system,neuroblastoma,,21.3
2,ACH-000368,-1.0534117553564641,Adherent,RPMI; 10% FBS,SNU-1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,27.4
2,ACH-000374,-1.648933409976071,Adherent,RPMI; 10% FBS,HCC1143,HCC1143_BREAST,breast,TNBC,,16
2,ACH-000376,-1.6716396909875195,Adherent,RPMI; 10% FBS,SF-295,SF295_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,20.9
3,ACH-000381,-1.4089972553309011,Adherent,DMEM:F12(1:1); 5%FBS; 2mMGlutamine,T84,T84_LARGE_INTESTINE,colorectal,,,19.7
2,ACH-000383,-1.042932613152758,Adherent,RPMI; 10% FBS,OE33,OE33_OESOPHAGUS,esophagus,esophagus_adenocarcinoma,,10.4
3,ACH-000387,-1.3042345523764545,Suspension,RPMI-1640: 10%FBS; 2ng/ml GM-CSF,TF-1,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,good
2,ACH-000389,-2.0427968492620434,Adherent,RPMI-1640: 10%FBS,H4,H4_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,,27.1
2,ACH-000390,-1.1993862649924951,Adherent,RPMI; 10% FBS,LUDLU-1,LUDLU1_LUNG,lung,lung_NSC,lung_squamous,13.2
